CustomerID,BillingMonth,TotalConsumption,TotalAmount,PaymentStatus
9,2024-06-01,945.85,151.19,Paid
9,2024-05-01,908.26,156.59,Unpaid
9,2024-04-01,651.53,94.45,Paid
9,2024-03-01,837.05,106.92,Unpaid
9,2024-02-01,665.27,95.06,Paid
9,2024-01-01,723.71,104.53,Unpaid
9,2023-12-01,815.0,131.95,Unpaid
10,2024-11-01,438.7,86.19,Unpaid
10,2024-10-01,711.89,87.04,Unpaid
10,2024-09-01,632.67,78.26,Unpaid
10,2024-08-01,607.18,77.86,Unpaid
10,2024-07-01,589.06,81.16,Paid
10,2024-06-01,427.6,71.93,Unpaid
10,2024-05-01,666.31,106.04,Unpaid
10,2024-04-01,298.78,38.61,Unpaid
10,2024-03-01,291.59,51.82,Unpaid
10,2024-02-01,853.86,162.56,Paid
10,2024-01-01,525.07,85.11,Paid
10,2023-12-01,908.14,136.62,Unpaid
11,2024-11-01,283.67,44.43,Unpaid
11,2024-10-01,846.61,134.98,Paid
11,2024-09-01,417.05,67.61,Paid
11,2024-08-01,634.22,109.41,Unpaid
11,2024-07-01,391.88,52.53,Paid
11,2024-06-01,839.44,124.14,Unpaid
11,2024-05-01,454.99,82.47,Unpaid
11,2024-04-01,729.35,92.03,Paid
11,2024-03-01,992.13,165.67,Unpaid
11,2024-02-01,553.85,71.64,Paid
11,2024-01-01,930.93,123.5,Unpaid
11,2023-12-01,503.73,70.98,Unpaid
12,2024-11-01,430.97,70.49,Unpaid
12,2024-10-01,390.79,68.07,Paid
12,2024-09-01,528.99,88.04,Paid
12,2024-08-01,534.51,66.31,Unpaid
12,2024-07-01,334.08,55.58,Unpaid
12,2024-06-01,756.98,98.39,Paid
12,2024-05-01,957.96,126.38,Paid
12,2024-04-01,505.57,77.27,Unpaid
12,2024-03-01,675.72,98.31,Unpaid
12,2024-02-01,815.64,157.97,Unpaid
12,2024-01-01,745.86,131.61,Unpaid
12,2023-12-01,923.06,181.19,Paid
13,2024-11-01,424.56,64.36,Unpaid
13,2024-10-01,283.21,55.68,Unpaid
13,2024-09-01,379.9,52.03,Paid
13,2024-08-01,263.61,34.77,Paid
13,2024-07-01,878.88,166.94,Unpaid
13,2024-06-01,488.82,96.19,Paid
13,2024-05-01,444.31,72.52,Paid
13,2024-04-01,918.07,154.27,Unpaid
13,2024-03-01,336.19,56.6,Paid
13,2024-02-01,850.79,123.76,Unpaid
13,2024-01-01,368.11,68.83,Unpaid
13,2023-12-01,714.14,133.4,Paid
14,2024-11-01,577.73,105.97,Unpaid
14,2024-10-01,966.58,167.93,Unpaid
14,2024-09-01,538.12,93.63,Paid
14,2024-08-01,836.23,129.98,Unpaid
14,2024-07-01,468.11,73.05,Unpaid
14,2024-06-01,669.76,109.56,Paid
14,2024-05-01,471.12,64.18,Paid
14,2024-04-01,498.76,93.47,Paid
14,2024-03-01,455.75,73.95,Unpaid
14,2024-02-01,427.56,58.93,Paid
14,2024-01-01,564.55,80.55,Unpaid
14,2023-12-01,465.3,92.34,Unpaid
15,2024-11-01,425.89,67.77,Paid
15,2024-10-01,713.67,139.22,Paid
15,2024-09-01,738.09,142.95,Unpaid
15,2024-08-01,246.45,32.27,Paid
15,2024-07-01,745.7,99.19,Paid
15,2024-06-01,838.18,115.07,Unpaid
15,2024-05-01,609.6,118.57,Unpaid
15,2024-04-01,629.74,95.87,Unpaid
15,2024-03-01,898.34,176.18,Paid
15,2024-02-01,862.21,116.81,Paid
15,2024-01-01,737.21,139.38,Paid
15,2023-12-01,609.16,97.93,Paid
16,2024-11-01,495.63,76.64,Unpaid
16,2024-10-01,968.2,124.34,Paid
16,2024-09-01,377.83,52.93,Unpaid
16,2024-08-01,353.78,64.59,Paid
16,2024-07-01,545.27,82.58,Unpaid
16,2024-06-01,740.69,128.29,Unpaid
16,2024-05-01,538.52,69.07,Unpaid
16,2024-04-01,395.79,68.78,Paid
16,2024-03-01,777.34,124.55,Unpaid
16,2024-02-01,345.4,59.44,Unpaid
16,2024-01-01,202.8,32.6,Paid
16,2023-12-01,207.44,36.09,Unpaid
17,2024-11-01,606.04,117.12,Paid
17,2024-10-01,261.91,36.29,Unpaid
17,2024-09-01,729.9,97.96,Paid
17,2024-08-01,603.66,77.16,Paid
17,2024-07-01,234.49,43.04,Paid
17,2024-06-01,229.44,36.43,Paid
17,2024-05-01,885.83,123.56,Paid
17,2024-04-01,748.35,122.74,Unpaid
17,2024-03-01,626.52,79.26,Unpaid
17,2024-02-01,813.69,105.88,Unpaid
17,2024-01-01,643.22,106.99,Paid
17,2023-12-01,207.19,31.29,Unpaid
18,2024-11-01,971.22,120.76,Paid
18,2024-10-01,411.52,58.85,Paid
18,2024-09-01,770.42,130.13,Unpaid
18,2024-08-01,399.98,62.29,Paid
18,2024-07-01,679.51,89.47,Paid
18,2024-06-01,925.71,126.65,Paid
18,2024-05-01,473.92,59.89,Paid
18,2024-04-01,475.25,83.14,Paid
18,2024-03-01,420.99,63.14,Unpaid
18,2024-02-01,730.06,136.02,Unpaid
18,2024-01-01,617.67,81.11,Unpaid
18,2023-12-01,911.54,174.97,Unpaid
19,2024-11-01,920.46,121.62,Unpaid
19,2024-10-01,885.47,150.93,Unpaid
19,2024-09-01,811.15,121.46,Paid
19,2024-08-01,475.6,89.22,Unpaid
19,2024-07-01,345.17,56.4,Paid
19,2024-06-01,540.51,98.6,Paid
19,2024-05-01,250.17,43.85,Unpaid
19,2024-04-01,463.46,80.6,Paid
19,2024-03-01,669.57,91.13,Paid
19,2024-02-01,937.71,176.77,Unpaid
19,2024-01-01,437.16,68.5,Unpaid
19,2023-12-01,634.76,114.04,Paid
20,2024-11-01,977.53,166.47,Paid
20,2024-10-01,927.04,116.6,Unpaid
20,2024-09-01,505.4,86.56,Unpaid
20,2024-08-01,590.22,102.23,Paid
20,2024-07-01,835.34,146.81,Unpaid
20,2024-06-01,266.65,43.65,Paid
20,2024-05-01,595.33,107.4,Paid
20,2024-04-01,947.38,159.33,Paid
20,2024-03-01,841.83,106.09,Unpaid
20,2024-02-01,233.23,41.24,Unpaid
20,2024-01-01,467.33,59.54,Unpaid
20,2023-12-01,556.58,71.28,Unpaid
21,2024-11-01,841.88,142.32,Paid
21,2024-10-01,597.47,113.58,Unpaid
21,2024-09-01,444.4,61.12,Paid
21,2024-08-01,735.96,89.48,Paid
21,2024-07-01,282.62,43.9,Paid
21,2024-06-01,393.87,65.31,Paid
21,2024-05-01,284.27,49.97,Unpaid
21,2024-04-01,359.64,44.78,Paid
21,2024-03-01,660.51,124.92,Unpaid
21,2024-02-01,243.43,31.64,Paid
21,2024-01-01,864.55,153.81,Unpaid
21,2023-12-01,686.08,87.53,Unpaid
22,2024-11-01,753.83,133.64,Unpaid
22,2024-10-01,378.71,59.3,Paid
22,2024-09-01,842.32,125.1,Paid
22,2024-08-01,994.79,188.76,Paid
22,2024-07-01,663.89,79.76,Unpaid
22,2024-06-01,888.86,169.52,Paid
22,2024-05-01,361.51,59.98,Paid
22,2024-04-01,960.62,117.04,Unpaid
22,2024-03-01,987.97,188.57,Paid
22,2024-02-01,566.42,84.67,Paid
22,2024-01-01,871.35,117.27,Unpaid
22,2023-12-01,371.1,65.76,Paid
23,2024-11-01,973.85,193.2,Paid
23,2024-10-01,955.55,147.82,Paid
23,2024-09-01,312.19,62.33,Unpaid
23,2024-08-01,703.79,125.71,Unpaid
23,2024-07-01,281.74,52.67,Paid
23,2024-06-01,396.41,69.99,Unpaid
23,2024-05-01,203.4,28.08,Paid
23,2024-04-01,335.33,63.43,Paid
23,2024-03-01,501.98,79.15,Unpaid
23,2024-02-01,663.0,129.63,Unpaid
23,2024-01-01,339.15,59.03,Paid
23,2023-12-01,820.99,101.68,Unpaid
24,2024-11-01,792.41,97.71,Unpaid
24,2024-10-01,230.57,44.71,Unpaid
24,2024-09-01,698.09,90.82,Paid
24,2024-08-01,279.53,50.78,Unpaid
24,2024-07-01,890.33,138.64,Unpaid
24,2024-06-01,204.53,38.56,Unpaid
24,2024-05-01,524.76,64.63,Paid
24,2024-04-01,818.86,113.53,Unpaid
24,2024-03-01,663.18,85.63,Paid
24,2024-02-01,606.59,74.83,Paid
24,2024-01-01,994.27,122.16,Unpaid
24,2023-12-01,417.21,54.23,Unpaid
25,2024-11-01,820.44,124.6,Paid
25,2024-10-01,309.51,40.26,Unpaid
25,2024-09-01,804.41,127.83,Unpaid
25,2024-08-01,829.63,153.99,Unpaid
25,2024-07-01,336.61,63.04,Paid
25,2024-06-01,790.65,104.37,Unpaid
25,2024-05-01,448.34,68.18,Unpaid
25,2024-04-01,280.99,50.65,Paid
25,2024-03-01,486.6,75.19,Unpaid
25,2024-02-01,481.03,93.78,Paid
25,2024-01-01,275.86,48.73,Paid
25,2023-12-01,613.14,117.02,Paid
26,2024-11-01,335.66,54.65,Paid
26,2024-10-01,931.23,112.0,Paid
26,2024-09-01,623.85,103.21,Paid
26,2024-08-01,996.04,152.98,Paid
26,2024-07-01,253.74,37.09,Unpaid
26,2024-06-01,674.91,118.81,Unpaid
26,2024-05-01,715.67,113.72,Unpaid
26,2024-04-01,682.42,97.33,Unpaid
26,2024-03-01,653.87,102.53,Unpaid
26,2024-02-01,736.81,141.25,Unpaid
26,2024-01-01,803.27,132.39,Unpaid
26,2023-12-01,655.62,81.4,Unpaid
27,2024-11-01,685.29,109.02,Unpaid
27,2024-10-01,571.38,71.25,Paid
27,2024-09-01,303.5,45.05,Unpaid
27,2024-08-01,679.08,91.88,Unpaid
27,2024-07-01,245.86,31.05,Paid
27,2024-06-01,594.1,107.62,Paid
27,2024-05-01,667.27,123.51,Unpaid
27,2024-04-01,273.47,46.53,Unpaid
27,2024-03-01,437.76,60.45,Paid
27,2024-02-01,370.12,56.22,Paid
27,2024-01-01,494.23,62.42,Paid
27,2023-12-01,996.98,131.15,Unpaid
28,2024-11-01,898.39,150.61,Paid
28,2024-10-01,329.52,52.24,Unpaid
28,2024-09-01,952.92,173.26,Paid
28,2024-08-01,901.67,162.42,Paid
28,2024-07-01,834.44,107.83,Unpaid
28,2024-06-01,225.4,29.25,Unpaid
28,2024-05-01,803.41,131.7,Unpaid
28,2024-04-01,646.16,96.59,Paid
28,2024-03-01,283.37,56.58,Paid
28,2024-02-01,670.73,131.26,Paid
28,2024-01-01,828.38,110.37,Paid
28,2023-12-01,911.77,138.68,Unpaid
29,2024-11-01,416.61,79.97,Paid
29,2024-10-01,631.42,92.0,Unpaid
29,2024-09-01,973.92,119.89,Unpaid
29,2024-08-01,279.13,45.56,Paid
29,2024-07-01,940.89,117.22,Unpaid
29,2024-06-01,347.67,52.43,Paid
29,2024-05-01,509.7,89.4,Unpaid
29,2024-04-01,403.47,69.08,Paid
29,2024-03-01,592.95,110.15,Unpaid
29,2024-02-01,688.59,100.12,Paid
29,2024-01-01,538.03,89.46,Unpaid
29,2023-12-01,251.69,38.91,Paid
30,2024-11-01,997.62,169.03,Unpaid
30,2024-10-01,376.05,73.95,Paid
30,2024-09-01,451.45,70.56,Paid
30,2024-08-01,625.47,98.03,Paid
30,2024-07-01,679.38,93.43,Paid
30,2024-06-01,354.66,50.95,Unpaid
30,2024-05-01,858.11,138.11,Paid
30,2024-04-01,854.39,164.3,Paid
30,2024-03-01,684.29,99.49,Unpaid
30,2024-02-01,671.75,125.63,Paid
30,2024-01-01,765.39,147.11,Unpaid
30,2023-12-01,528.12,67.46,Paid
31,2024-11-01,567.48,89.24,Unpaid
31,2024-10-01,816.95,124.86,Unpaid
31,2024-09-01,455.53,67.24,Unpaid
31,2024-08-01,497.47,69.48,Paid
31,2024-07-01,965.0,120.87,Unpaid
31,2024-06-01,443.19,75.47,Paid
31,2024-05-01,935.72,185.32,Unpaid
31,2024-04-01,963.7,159.77,Unpaid
31,2024-03-01,634.71,113.95,Unpaid
31,2024-02-01,580.68,69.68,Paid
31,2024-01-01,340.66,67.61,Paid
31,2023-12-01,814.84,135.78,Paid
32,2024-11-01,302.76,54.9,Paid
32,2024-10-01,556.65,82.05,Unpaid
32,2024-09-01,691.65,89.84,Unpaid
32,2024-08-01,524.47,77.37,Unpaid
32,2024-07-01,208.48,31.52,Unpaid
32,2024-06-01,201.72,24.84,Unpaid
32,2024-05-01,230.05,38.17,Unpaid
32,2024-04-01,248.99,33.77,Paid
32,2024-03-01,620.51,121.69,Unpaid
32,2024-02-01,242.87,43.03,Unpaid
32,2024-01-01,923.2,118.1,Paid
32,2023-12-01,553.91,98.6,Paid
33,2024-11-01,975.04,120.84,Unpaid
33,2024-10-01,492.34,93.19,Paid
33,2024-09-01,296.16,54.46,Unpaid
33,2024-08-01,431.96,57.34,Unpaid
33,2024-07-01,868.42,122.41,Unpaid
33,2024-06-01,413.58,68.49,Paid
33,2024-05-01,258.44,35.49,Unpaid
33,2024-04-01,773.61,138.49,Unpaid
33,2024-03-01,911.05,117.37,Unpaid
33,2024-02-01,336.86,63.18,Unpaid
33,2024-01-01,496.93,76.33,Paid
33,2023-12-01,286.91,48.68,Unpaid
34,2024-11-01,527.0,78.23,Unpaid
34,2024-10-01,895.62,161.93,Paid
34,2024-09-01,810.92,99.92,Unpaid
34,2024-08-01,453.83,80.46,Paid
34,2024-07-01,448.71,61.53,Unpaid
34,2024-06-01,866.5,159.03,Unpaid
34,2024-05-01,831.71,131.3,Paid
34,2024-04-01,517.55,76.68,Paid
34,2024-03-01,309.0,45.23,Paid
34,2024-02-01,685.4,102.58,Paid
34,2024-01-01,680.1,110.13,Paid
34,2023-12-01,222.78,37.41,Paid
35,2024-11-01,606.46,83.13,Paid
35,2024-10-01,583.02,84.7,Paid
35,2024-09-01,849.68,165.79,Paid
35,2024-08-01,355.71,69.45,Unpaid
35,2024-07-01,950.74,153.81,Unpaid
35,2024-06-01,912.01,157.17,Paid
35,2024-05-01,614.12,109.7,Paid
35,2024-04-01,468.92,86.55,Paid
35,2024-03-01,377.0,49.33,Unpaid
35,2024-02-01,895.92,121.08,Paid
35,2024-01-01,733.99,144.04,Unpaid
35,2023-12-01,209.78,37.51,Paid
36,2024-11-01,600.98,108.67,Paid
36,2024-10-01,373.92,49.31,Paid
36,2024-09-01,516.19,70.22,Paid
36,2024-08-01,355.72,61.57,Unpaid
36,2024-07-01,827.56,161.7,Paid
36,2024-06-01,515.28,74.79,Paid
36,2024-05-01,590.51,93.48,Unpaid
36,2024-04-01,286.47,52.34,Paid
36,2024-03-01,950.41,145.5,Paid
36,2024-02-01,372.75,53.06,Unpaid
36,2024-01-01,393.92,51.21,Unpaid
36,2023-12-01,515.29,101.41,Paid
37,2024-11-01,408.25,60.07,Unpaid
37,2024-10-01,710.81,90.02,Unpaid
37,2024-09-01,712.85,98.63,Paid
37,2024-08-01,378.92,73.06,Unpaid
37,2024-07-01,431.06,72.06,Paid
37,2024-06-01,379.34,64.89,Unpaid
37,2024-05-01,399.1,75.93,Paid
37,2024-04-01,317.65,52.42,Unpaid
37,2024-03-01,993.02,184.08,Unpaid
37,2024-02-01,720.09,131.36,Paid
37,2024-01-01,304.1,55.6,Paid
37,2023-12-01,539.42,85.76,Paid
38,2024-11-01,550.35,69.98,Paid
38,2024-10-01,503.61,98.04,Unpaid
38,2024-09-01,216.96,27.34,Paid
38,2024-08-01,332.4,42.02,Unpaid
38,2024-07-01,737.99,106.8,Paid
38,2024-06-01,561.94,96.45,Paid
38,2024-05-01,678.87,106.68,Unpaid
38,2024-04-01,751.52,134.94,Unpaid
38,2024-03-01,735.78,125.45,Paid
38,2024-02-01,480.88,68.39,Unpaid
38,2024-01-01,298.88,47.82,Unpaid
38,2023-12-01,382.4,71.05,Unpaid
39,2024-11-01,735.91,103.49,Paid
39,2024-10-01,626.49,121.47,Unpaid
39,2024-09-01,968.36,184.11,Unpaid
39,2024-08-01,752.05,102.27,Unpaid
39,2024-07-01,944.32,177.3,Paid
39,2024-06-01,424.42,71.25,Paid
39,2024-05-01,842.47,156.75,Unpaid
39,2024-04-01,986.51,188.96,Paid
39,2024-03-01,711.52,105.45,Unpaid
39,2024-02-01,262.94,34.14,Unpaid
39,2024-01-01,811.95,124.88,Unpaid
39,2023-12-01,388.85,48.18,Unpaid
40,2024-11-01,522.04,69.48,Paid
40,2024-10-01,948.61,174.46,Paid
40,2024-09-01,448.96,68.53,Unpaid
40,2024-08-01,744.13,121.19,Unpaid
40,2024-07-01,504.79,76.76,Unpaid
40,2024-06-01,964.76,159.73,Paid
40,2024-05-01,337.63,63.95,Paid
40,2024-04-01,892.98,178.04,Paid
40,2024-03-01,714.55,110.44,Paid
40,2024-02-01,592.83,81.19,Unpaid
40,2024-01-01,486.26,72.04,Unpaid
40,2023-12-01,885.28,106.99,Unpaid
41,2024-11-01,874.64,153.47,Unpaid
41,2024-10-01,487.3,69.84,Paid
41,2024-09-01,482.55,62.27,Paid
41,2024-08-01,976.08,147.87,Unpaid
41,2024-07-01,247.25,30.4,Paid
41,2024-06-01,531.6,98.87,Unpaid
41,2024-05-01,808.32,150.2,Unpaid
41,2024-04-01,911.94,132.83,Unpaid
41,2024-03-01,651.55,78.54,Unpaid
41,2024-02-01,537.39,106.4,Unpaid
41,2024-01-01,856.58,150.39,Unpaid
41,2023-12-01,794.67,129.33,Paid
42,2024-11-01,292.4,42.91,Unpaid
42,2024-10-01,824.16,130.54,Unpaid
42,2024-09-01,468.82,61.22,Paid
42,2024-08-01,764.16,137.44,Unpaid
42,2024-07-01,703.07,116.83,Paid
42,2024-06-01,583.31,95.81,Paid
42,2024-05-01,340.18,43.58,Unpaid
42,2024-04-01,275.01,49.7,Paid
42,2024-03-01,662.34,116.52,Unpaid
42,2024-02-01,340.83,62.05,Paid
42,2024-01-01,578.73,76.52,Paid
42,2023-12-01,859.05,158.8,Unpaid
43,2024-11-01,735.86,121.07,Paid
43,2024-10-01,335.69,42.27,Paid
43,2024-09-01,965.6,161.38,Paid
43,2024-08-01,376.05,61.83,Unpaid
43,2024-07-01,470.07,93.94,Unpaid
43,2024-06-01,728.39,145.48,Paid
43,2024-05-01,497.77,90.82,Unpaid
43,2024-04-01,396.26,65.26,Unpaid
43,2024-03-01,209.82,39.11,Paid
43,2024-02-01,334.75,49.32,Unpaid
43,2024-01-01,984.32,189.62,Unpaid
43,2023-12-01,429.67,59.87,Unpaid
44,2024-11-01,821.44,154.38,Paid
44,2024-10-01,209.34,36.19,Unpaid
44,2024-09-01,533.19,75.51,Paid
44,2024-08-01,207.32,36.74,Unpaid
44,2024-07-01,486.18,65.75,Paid
44,2024-06-01,937.67,126.12,Unpaid
44,2024-05-01,799.1,132.02,Paid
44,2024-04-01,300.16,36.23,Paid
44,2024-03-01,323.27,46.51,Unpaid
44,2024-02-01,444.69,63.51,Unpaid
44,2024-01-01,897.2,146.68,Unpaid
44,2023-12-01,878.51,110.43,Unpaid
45,2024-11-01,978.04,146.04,Unpaid
45,2024-10-01,555.99,109.8,Paid
45,2024-09-01,443.58,68.65,Paid
45,2024-08-01,741.07,123.53,Paid
45,2024-07-01,970.78,164.69,Unpaid
45,2024-06-01,523.74,80.83,Unpaid
45,2024-05-01,280.38,34.14,Paid
45,2024-04-01,652.99,110.68,Paid
45,2024-03-01,421.81,53.83,Paid
45,2024-02-01,474.42,65.42,Paid
45,2024-01-01,875.25,114.55,Paid
45,2023-12-01,381.73,63.16,Paid
46,2024-11-01,702.02,109.66,Unpaid
46,2024-10-01,477.53,94.24,Paid
46,2024-09-01,950.01,114.85,Unpaid
46,2024-08-01,874.37,132.11,Unpaid
46,2024-07-01,515.44,84.19,Paid
46,2024-06-01,922.45,148.53,Paid
46,2024-05-01,792.24,98.51,Paid
46,2024-04-01,651.17,119.26,Unpaid
46,2024-03-01,410.59,55.3,Paid
46,2024-02-01,940.09,119.2,Paid
46,2024-01-01,334.72,54.41,Unpaid
46,2023-12-01,220.58,28.25,Paid
47,2024-11-01,585.39,85.04,Paid
47,2024-10-01,996.46,122.43,Unpaid
47,2024-09-01,879.58,116.97,Paid
47,2024-08-01,693.48,103.86,Paid
47,2024-07-01,728.14,98.87,Unpaid
47,2024-06-01,539.07,91.52,Unpaid
47,2024-05-01,382.82,71.97,Unpaid
47,2024-04-01,341.02,50.96,Unpaid
47,2024-03-01,448.02,72.34,Unpaid
47,2024-02-01,465.18,83.73,Unpaid
47,2024-01-01,821.8,120.06,Unpaid
47,2023-12-01,359.86,59.13,Unpaid
48,2024-11-01,431.74,53.7,Unpaid
48,2024-10-01,979.81,161.75,Unpaid
48,2024-09-01,206.13,39.79,Paid
48,2024-08-01,335.17,43.56,Unpaid
48,2024-07-01,612.86,75.52,Paid
48,2024-06-01,963.23,165.08,Paid
48,2024-05-01,325.67,47.81,Paid
48,2024-04-01,782.27,104.87,Paid
48,2024-03-01,487.09,72.45,Paid
48,2024-02-01,424.81,66.22,Paid
48,2024-01-01,551.74,74.68,Unpaid
48,2023-12-01,382.25,49.57,Unpaid
49,2024-11-01,279.22,42.81,Unpaid
49,2024-10-01,755.28,126.62,Paid
49,2024-09-01,298.9,48.83,Paid
49,2024-08-01,576.56,85.39,Paid
49,2024-07-01,718.77,124.93,Unpaid
49,2024-06-01,422.35,76.93,Unpaid
49,2024-05-01,933.38,158.15,Paid
49,2024-04-01,570.15,84.99,Paid
49,2024-03-01,607.7,105.7,Paid
49,2024-02-01,229.7,44.94,Unpaid
49,2024-01-01,333.95,59.28,Paid
49,2023-12-01,849.95,160.72,Paid
50,2024-11-01,535.03,68.7,Unpaid
50,2024-10-01,390.67,56.67,Unpaid
50,2024-09-01,700.07,124.55,Unpaid
50,2024-08-01,729.3,135.86,Unpaid
50,2024-07-01,623.68,99.23,Unpaid
50,2024-06-01,746.01,113.13,Paid
50,2024-05-01,750.53,97.45,Paid
50,2024-04-01,367.32,71.69,Unpaid
50,2024-03-01,307.25,53.7,Paid
50,2024-02-01,557.02,87.94,Unpaid
50,2024-01-01,606.42,76.04,Unpaid
50,2023-12-01,971.11,139.17,Unpaid
51,2024-11-01,876.08,122.33,Unpaid
51,2024-10-01,554.45,73.29,Paid
51,2024-09-01,856.7,160.53,Paid
51,2024-08-01,226.97,37.41,Paid
51,2024-07-01,238.42,36.83,Paid
51,2024-06-01,370.64,47.59,Unpaid
51,2024-05-01,544.49,108.68,Paid
51,2024-04-01,916.53,115.09,Paid
51,2024-03-01,952.95,158.1,Paid
51,2024-02-01,892.64,128.02,Unpaid
51,2024-01-01,931.12,120.23,Unpaid
51,2023-12-01,811.86,98.11,Paid
52,2024-11-01,466.92,76.72,Unpaid
52,2024-10-01,998.42,127.94,Unpaid
52,2024-09-01,830.06,136.98,Unpaid
52,2024-08-01,793.62,142.13,Unpaid
52,2024-07-01,783.11,108.64,Paid
52,2024-06-01,857.65,168.45,Paid
52,2024-05-01,763.83,147.51,Paid
52,2024-04-01,553.67,107.06,Unpaid
52,2024-03-01,808.82,125.78,Unpaid
52,2024-02-01,315.22,61.95,Paid
52,2024-01-01,484.21,91.3,Paid
52,2023-12-01,657.87,100.04,Unpaid
53,2024-11-01,753.7,141.37,Unpaid
53,2024-10-01,750.88,139.72,Unpaid
53,2024-09-01,353.56,56.57,Paid
53,2024-08-01,871.9,114.55,Paid
53,2024-07-01,932.15,146.82,Paid
53,2024-06-01,815.76,129.08,Paid
53,2024-05-01,638.64,106.02,Paid
53,2024-04-01,884.12,143.2,Unpaid
